brand,prod_name,id,star_rate,review
라운드랩,라운드랩 1025 독도 로션,teatime,5,가성비 너무 좋은 세트예요!제 첫 라운드랩 로션인데 아주 만족해요.로션이 물듯이 가벼운데 피부를 촉촉하게 만들어줘요. 아누아 로션보다 보습을 더 잘 시켜서민감하거나 건조한 피부에 아주 좋은 데일리 로션이에요 순하고 아주 젤튼해요!! 추천해요!
라운드랩,라운드랩 1025 독도 로션,러블리윤,3,중1 남아가 사용중인데토너와 달리 로션은 유분기가 느껴지네요유분기로 인해 트러블 발생하는거라로션은 현재 중단 상태예요토너는 어느정도 효과가 보이기도해서 사용중입니다
라운드랩,라운드랩 1025 독도 로션,올영여행,5,"라운드랩제품 좋아하고, 독도 제품 순해서 로션,토너 모두 좋아요."
라운드랩,라운드랩 1025 독도 로션,네니넨,5,독도로션 리뷰입니다.로션을 찾다가 세일하니까 요 제품이 용량대비 엄청 저렴한 편이더라구요. 그리고 또 SNS보면 독도라인이 다들 너무 좋다고 하셔서 너무 궁금했는데 요 기회에 한번 써보려고 샀어요. 써봤는데 저는 뭐 트러블같은건 올라오지 않았고만족하면서 쓰고 있습니다. 다만 제형에 비해 흡수는 그렇게 빠르진 않았고 이전 쓰던 것보다 조금 덜 촉촉해서 저는 요고 여름까지도 잘 쓸 수 있을 것 같아요.
라운드랩,라운드랩 1025 독도 로션,멍창이,5,원래 크림만 사용하다가 피부과에서 로션도 필수라길래 구매했어요. 확실히 너무 좋아요. 별다른 기능은 없지만 유분감이 적어서 수분만 딱 채워주는거 같아요. 대용량인게 제일 좋네요. 지성피부는 여름에 이걸로도 충분할거 같아요.
라운드랩,라운드랩 1025 독도 로션,맑고밝게,5,기존에 네이처리퍼블릭 스네일 에멀전 썼는데가격이 올라서 대체제 찾다가 이거다 싶어 구매했습니다. 좋은점은 순하고 과하지 않다는거 딱 로션 기능에 충실해서 좋네요 발랐을때 순한느낌이고 용량도 넉넉해서 계속 구매하고 싶습니다
라운드랩,라운드랩 1025 독도 로션,본예이,5,냄새가 너무 그냥 원료냄새..? 그런느낌이에영 순하거 촉촉해서 사용하거있긴 합니당 특히나 남자분들이 쓰기 딱 좋은 제품인거같아용
라운드랩,라운드랩 1025 독도 로션,올영세상,5,딸아이가 사용중인데 자극 없이 순하고 좋다 하네요. 발림성도 좋고 불호 없이 잘 사용중이에요. 양도 많아서 좋아요.
라운드랩,라운드랩 1025 독도 로션,뜬뜬뜬,5,매일매일 쓰고 있습니다.촉촉하고 펌프형이하 편해요.재구매의사 있어요
라운드랩,라운드랩 1025 독도 로션,러블리윤,5,초6 남아가 사용중이에요 ㅎ늘 키즈 로션 제품만 사용하다가유분기가 생기고나서부턴 트러블이 생기고안맞게 되더라구요그래서 검색 후 알게된 독도 제품!다행히 더이상의 트러블은 안생기니 일단은 만족이요향는 무향이에요
라운드랩,라운드랩 1025 독도 로션,부릉부릉,5,엄마랑 로션을 같이 쓰다보니 로션이 금방 줄더라구요. 100미리 150미리는 성이 안 차서 이번에 아예 400미리로 사버렸습니다! 쓰기 편하게 펌프식이라 넘 좋아요! 라인드랩 독도 라인이 유명하잖아요~ 스킨 크림 선크림 다 써봤는데 드디어 로션도 써보네요 ㅎㅎ 순해서 가족분들이 다 쓰셔도 좋은 제품이에요~
라운드랩,라운드랩 1025 독도 로션,슭곰발잉,5,울릉도 동남쪽 뱃길따라 200리외로운 섬하나 새들의 고향그 누가 아무리 자기네 땅이라고 우겨도독도는 우리땅(우리땅)!!!
라운드랩,라운드랩 1025 독도 로션,07서연,5,대용량이라사 좋고 저번에 싰는데 또 샀어요. 다음에 또 사려고툐
